app_name,display_name,is_long_tail,notes
AU Small Finance Bank Apps,AU Small Finance Bank Apps,False,
Aditya Birla Capital Digital,Aditya Birla Capital Digital,False,
Aditya Birla Capital Digital Limited,Aditya Birla Capital Digital Limited,False,
Airtel Payments Bank Apps,Airtel Payments Bank Apps,False,
Allahabad Bank Apps,Allahabad Bank Apps,False,
Amazon Pay,Amazon Pay,False,
Axis Bank Apps,Axis Bank Apps,False,
BHIM,BHIM,False,
BPAYWALLET,BPAYWALLET,False,
Bajaj Finserv,Bajaj Finserv,False,
Bajaj Pay Wallet,Bajaj Pay Wallet,False,
Bank of Baroda Apps,Bank of Baroda Apps,False,
Bank of India Apps,Bank of India Apps,False,
Bank of Maharashtra Apps,Bank of Maharashtra Apps,False,
Bharat Pe,Bharat Pe,False,
CBDC Apps,CBDC Apps,False,
Canara Bank Apps,Canara Bank Apps,False,
Central Bank of India Apps,Central Bank of India Apps,False,
Cheq,Cheq,False,
Citi Bank Apps,Citi Bank Apps,False,
City Union Bank Apps,City Union Bank Apps,False,
Cred,Cred,False,
DBS Digibank Apps,DBS Digibank Apps,False,
Deutsche Bank Apps,Deutsche Bank Apps,False,
Dhani,Dhani,False,
Digikhata,Digikhata,False,
ESAF Small Finance Bank Apps,ESAF Small Finance Bank Apps,False,
Equitas Small Finance Bank Apps,Equitas Small Finance Bank Apps,False,
FIFEDERAL,FIFEDERAL,False,
Fampay,Fampay,False,Includes Trio Fintech rebrand labels and shorthand 'FAM'
Fave,Fave,False,
Federal Bank Apps,Federal Bank Apps,False,
Fi Money,Fi Money,False,
Fino Payments Bank Apps,Fino Payments Bank Apps,False,
Flipkart UPI,Flipkart UPI,False,
Freo,Freo,False,
Genwise,Genwise,False,
Go Kiwi,Go Kiwi,False,
Go Niyo,Go Niyo,False,
Google Pay,Google Pay,False,
Groww,Groww,False,
HDFC Bank Apps,HDFC Bank Apps,False,
HSBC Bank Apps,HSBC Bank Apps,False,
ICICI Bank Apps,ICICI Bank Apps,False,
IDBI Bank Apps,IDBI Bank Apps,False,
IDFC Bank Apps,IDFC Bank Apps,False,
INDIE - Indus Ind,INDIE - Indus Ind,False,
Ind Money,Ind Money,False,
India Post Payments Bank Apps,India Post Payments Bank Apps,False,
Indian Bank Apps,Indian Bank Apps,False,
Indian Overseas Bank Apps,Indian Overseas Bank Apps,False,
IndusInd Bank Apps,IndusInd Bank Apps,False,
Jammu and Kashmir Bank Apps,Jammu and Kashmir Bank Apps,False,
Jar,Jar,False,
Jio Payments Bank Apps,Jio Payments Bank Apps,False,
Jupiter Edge,Jupiter Edge,False,"Distinct LivQuick PPI product, kept separate from Jupiter Money"
Jupiter Money,Jupiter Money,False,Kept separate from Jupiter Edge (distinct PPI product)
Karnataka Bank Apps,Karnataka Bank Apps,False,
Karur Vysya Bank Apps,Karur Vysya Bank Apps,False,
Kiwi,Kiwi,False,
Kotak Mahindra Bank Apps,Kotak Mahindra Bank Apps,False,
Kredit Pe,Kredit Pe,False,
KreditBee,KreditBee,False,
MBK,MBK,False,
MakeMyTrip,MakeMyTrip,False,
Mobikwik,Mobikwik,False,
Money View,Money View,False,
NSDL Payments Bank Apps,NSDL Payments Bank Apps,False,
Navi,Navi,False,
Niyo Global,Niyo Global,False,
Obopay,Obopay,False,
OmniCard,OmniCard,False,
One Card,One Card,False,
Other Apps,Other Apps,True,NPCI sub-threshold long-tail bucket (also appeared as 'Others')
PAYTMWALLET,PAYTMWALLET,False,
POP UPI,POP UPI,False,
Paytm,Paytm,False,Includes pre/post PPBL-to-OCL backend migration; same consumer app
Payworld,Payworld,False,
PhonePe,PhonePe,False,
Pop Club,Pop Club,False,
Punjab National Bank Apps,Punjab National Bank Apps,False,
Punjab Sind Bank Apps,Punjab Sind Bank Apps,False,
RBL Bank Apps,RBL Bank Apps,False,
Rapipay,Rapipay,False,
Salary Se,Salary Se,False,
Samsung Pay,Samsung Pay,False,
Shriram One,Shriram One,False,
Slice,Slice,False,Includes post banking-license merger label 'Slice Small Finance Bank Apps'
South Indian Bank Apps,South Indian Bank Apps,False,
Spice Money,Spice Money,False,
Standard Chartered Bank Apps,Standard Chartered Bank Apps,False,
State Bank of India Apps,State Bank of India Apps,False,
Suryoday Bank Apps,Suryoday Bank Apps,False,
Tamilnad Mercantile Bank Apps,Tamilnad Mercantile Bank Apps,False,
Tata Pay,Tata Pay,False,
TataNeu,TataNeu,False,
Timepay,Timepay,False,
True Balance,True Balance,False,
TwidPay,TwidPay,False,
UCO Bank Apps,UCO Bank Apps,False,
Ultracash,Ultracash,False,
Union Bank Apps,Union Bank Apps,False,
Unity Small Finance Bank Apps,Unity Small Finance Bank Apps,False,
Utkarsh Small Finance Bank Apps,Utkarsh Small Finance Bank Apps,False,
WhatsApp,WhatsApp,False,
Yes Bank Apps,Yes Bank Apps,False,
super.money,super.money,False,
