month_start,app_name,volume_mn,value_cr,source_file
2023-11-01,AU Small Finance Bank Apps,0.66,239.22,appwise_master.ods
2023-11-01,Airtel Payments Bank Apps,11.06,795.35,appwise_master.ods
2023-11-01,Allahabad Bank Apps,0.03,6.93,appwise_master.ods
2023-11-01,Amazon Pay,48.62,5737.75,appwise_master.ods
2023-11-01,Axis Bank Apps,11.52,2305.08,appwise_master.ods
2023-11-01,BHIM,23.49,7957.46,appwise_master.ods
2023-11-01,Bajaj Finserv,15.95,2406.06,appwise_master.ods
2023-11-01,Bajaj Pay Wallet,0.26,62.02,appwise_master.ods
2023-11-01,Bank of Baroda Apps,0.95,412.54,appwise_master.ods
2023-11-01,Bank of India Apps,0.24,88.76,appwise_master.ods
2023-11-01,Bank of Maharashtra Apps,0.04,8.79,appwise_master.ods
2023-11-01,CBDC Apps,0.2,8.49,appwise_master.ods
2023-11-01,Canara Bank Apps,2.29,667.04,appwise_master.ods
2023-11-01,Central Bank of India Apps,0.51,117.17,appwise_master.ods
2023-11-01,Citi Bank Apps,0.07,60.24,appwise_master.ods
2023-11-01,City Union Bank Apps,0.07,22.07,appwise_master.ods
2023-11-01,Cred,93.31,34541.32,appwise_master.ods
2023-11-01,DBS Digibank Apps,0.52,196.26,appwise_master.ods
2023-11-01,Deutsche Bank Apps,3.26,268.83,appwise_master.ods
2023-11-01,Digikhata,0.05,20.12,appwise_master.ods
2023-11-01,Equitas Small Finance Bank Apps,0.03,19.96,appwise_master.ods
2023-11-01,Fampay,28.43,336.92,appwise_master.ods
2023-11-01,Fave,0.09,8.29,appwise_master.ods
2023-11-01,Federal Bank Apps,5.51,698.05,appwise_master.ods
2023-11-01,Fino Payments Bank Apps,0.27,25.0,appwise_master.ods
2023-11-01,Go Kiwi,0.76,93.99,appwise_master.ods
2023-11-01,Google Pay,4099.08,599748.64,appwise_master.ods
2023-11-01,Groww,4.59,2528.81,appwise_master.ods
2023-11-01,HDFC Bank Apps,20.68,5511.35,appwise_master.ods
2023-11-01,HSBC Bank Apps,0.18,110.45,appwise_master.ods
2023-11-01,ICICI Bank Apps,27.41,11134.92,appwise_master.ods
2023-11-01,IDBI Bank Apps,0.07,35.22,appwise_master.ods
2023-11-01,IDFC Bank Apps,4.96,1306.91,appwise_master.ods
2023-11-01,INDIE - Indus Ind,0.16,30.77,appwise_master.ods
2023-11-01,India Post Payments Bank Apps,5.27,532.66,appwise_master.ods
2023-11-01,Indian Bank Apps,0.36,89.84,appwise_master.ods
2023-11-01,Indian Overseas Bank Apps,0.09,24.83,appwise_master.ods
2023-11-01,IndusInd Bank Apps,0.9,193.07,appwise_master.ods
2023-11-01,Jio Payments Bank Apps,1.26,117.05,appwise_master.ods
